Titre ANSSI,Référence ANSSI,Type,Date,CVE,CVSS,Sévérité,CWE,Description,EPSS,Lien,Editeur,Produit,Versions affectées
[MàJ] Vulnérabilité dans Atlassian Confluence,CERTFR-2022-ALE-006,Alerte,2024-09-16 18:55:17.016000,CVE-2022-26134,0.0,NONE,Non disponible,"In affected versions of Confluence Server and Data Center, an OGNL injection vulnerability exists that would allow an unauthenticated attacker to execute arbitrary code on a Confluence Server or Data Center instance. The affected versions are from 1.3.0 before 7.4.17, from 7.13.0 before 7.13.7, from 7.14.0 before 7.14.3, from 7.15.0 before 7.15.2, from 7.16.0 before 7.16.4, from 7.17.0 before 7.17.4, and from 7.18.0 before 7.18.1.",0.9738,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-006/,Atlassian,Confluence Server,"next of 1.3.0, unspecified, 7.13.0, unspecified, 7.14.0, unspecified, 7.15.0, unspecified, 7.16.0, unspecified, 7.17.0, unspecified, 7.18.0, unspecified"
Multiples vulnérabilités dans Microsoft Windows,CERTFR-2022-ALE-007,Alerte,2025-01-02 19:40:24.809000,CVE-2022-34721,9.8,CRITICAL,Non disponible,Windows Internet Key Exchange (IKE) Protocol Extensions Remote Code Execution Vulnerability,0.00596,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,Microsoft,Windows Server 2012 R2 (Server Core installation),6.3.9600.0
Multiples vulnérabilités dans Microsoft Windows,CERTFR-2022-ALE-007,Alerte,2025-01-02 19:40:25.410000,CVE-2022-34722,9.8,CRITICAL,Non disponible,Windows Internet Key Exchange (IKE) Protocol Extensions Remote Code Execution Vulnerability,0.00596,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,Microsoft,Windows Server 2012 R2 (Server Core installation),6.3.9600.0
Multiples vulnérabilités dans Microsoft Windows,CERTFR-2022-ALE-007,Alerte,2025-01-02 19:40:23.223000,CVE-2022-34718,9.8,CRITICAL,Non disponible,Windows TCP/IP Remote Code Execution Vulnerability,0.00753,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,Microsoft,Windows Server 2012 R2 (Server Core installation),6.3.9600.0
[MaJ] Multiples vulnérabilités dans Microsoft Exchange,CERTFR-2022-ALE-008,Alerte,2025-01-02 19:40:44.556000,CVE-2022-41082,8.0,HIGH,Non disponible,Microsoft Exchange Server Remote Code Execution Vulnerability,0.06687,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-008/,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 23,15.01.0
[MaJ] Multiples vulnérabilités dans Microsoft Exchange,CERTFR-2022-ALE-008,Alerte,2025-01-02 19:40:44.005000,CVE-2022-41040,8.8,HIGH,Non disponible,Microsoft Exchange Server Elevation of Privilege Vulnerability,0.00378,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-008/,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 23,15.01.0
[MaJ] Vulnérabilité dans Zimbra Collaboration,CERTFR-2022-ALE-009,Alerte,2024-09-17 00:45:31.181000,CVE-2022-37393,0.0,NONE,CWE-284,"Zimbra's sudo configuration permits the zimbra user to execute the zmslapd binary as root with arbitrary parameters. As part of its intended functionality, zmslapd can load a user-defined configuration file, which includes plugins in the form of .so files, which also execute as root.",0.00203,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-009/,Synacor,Zimbra Server,"9.0.0.p27, 8.8.15.p34"
[MaJ] Vulnérabilité dans Zimbra Collaboration,CERTFR-2022-ALE-009,Alerte,2024-08-03 12:42:46.297000,CVE-2022-41352,0.0,NONE,Non disponible,"An issue was discovered in Zimbra Collaboration (ZCS) 8.8.15 and 9.0. An attacker can upload arbitrary files through amavis via a cpio loophole (extraction to /opt/zimbra/jetty/webapps/zimbra/public) that can lead to incorrect access to any other user accounts. Zimbra recommends pax over cpio. Also, pax is in the prerequisites of Zimbra on Ubuntu; however, pax is no longer part of a default Red Hat installation after RHEL 6 (or CentOS 6). Once pax is installed, amavis automatically prefers it over cpio.",0.91028,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-009/,Non disponible,Non disponible,Non disponible
Multiples vulnérabilités dans GLPI,CERTFR-2022-ALE-010,Alerte,2024-08-03 09:51:59.148000,CVE-2022-35947,10.0,CRITICAL,CWE-89,"GLPI stands for Gestionnaire Libre de Parc Informatique and is a Free Asset and IT Management Software package, that provides ITIL Service Desk features, licenses tracking and software auditing. Affected versions have been found to be vulnerable to a SQL injection attack which an attacker could leverage to simulate an arbitrary user login. Users are advised to upgrade to version 10.0.3. Users unable to upgrade should disable the `Enable login with external token` API configuration.",0.0018,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-010/,glpi-project,glpi,">= 9.1, < 10.0.3"
Multiples vulnérabilités dans GLPI,CERTFR-2022-ALE-010,Alerte,2025-01-07 19:34:04.621940,CVE-2022-35914,0.0,NONE,Non disponible,/vendor/htmlawed/htmlawed/htmLawedTest.php in the htmlawed module for GLPI through 10.0.2 allows PHP code injection.,0.97512,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-010/,Non disponible,Non disponible,Non disponible
